screen_name,status_text,status_created_at
B_H_77_44,@_princess_kolli @Asya_Elizabeth \обмотал сына в матрас\,Fri Feb 09 19:31:02 +0000 2018
kenta_name,RT @MnetMcountdown: #JBJ~가! 오늘  #엠카운트다운 에서 #조이풀 여러분을 위한 스페셜 스테이지를 선보입니다! #원더풀데이 무대가 보고 싶다면 오늘 저녁 6시 #엠카~로 오세요~~내 곁에 있어 고마워 모든 걸 다 가진 듯한 Joy…,Thu Feb 08 08:16:39 +0000 2018
bbbabesxtrbl,"RT @KOONSwk: องอัพฟคฟ.ประโยคแบบในทวิตนี้ที่แปลเลย แค่เปลี่ยนเป็นว่า
 “ขอโทษนะครับ เคยเห็นองซองอูกันมั้ยครับ? เพราะว่าเค้ามาเปลี่ยนรูปดิสอีก…",Sat Feb 10 09:14:42 +0000 2018
ssoogi64,"RT @parkkwangon: 당원 동지 여러분,
경기도당위원장으로 받아 주셔서 감사드립니다.

당원의 목소리가 실시간 반영되도록 온라인 체계를 전면 개편하고,
논평과 홍보 역량을 강화해 문재인정부를 적극 대변하고,
자체적으로 가짜뉴스 대응 시스템을…",Thu Feb 08 10:35:24 +0000 2018
Vmayloved14,"Btuh byk nope nih mah

RM KOYA 
@BTS_twt 
#iHeartAwards #BTSARMY 
#BestFanArmy",Thu Feb 08 13:28:01 +0000 2018
jisoengssi,@hhhasung Kok nenek..tua amat,Sat Feb 10 08:17:26 +0000 2018
B__92_05_06,"RT @guardrabbit_pp: 베테제님 들숨이 건강을 얻으시고 날숨에 재력을 얻으세요
#iHeartAwards #BestFanArmy #EXOL @weareoneEXO https://t.co/cGH2S3B492",Fri Feb 09 01:28:22 +0000 2018
Joseph14H,"RT @hgk615: 그동안 북한이 이번 올림픽을 '평양올림픽'을 만들기 위한 시도를 한다고 주장하던 보수언론과 야당이 아쉬움에 장탄식을 하는 소리가 들리는 것 같습니다. 

제가 전에 언급한대로 북한 측에서 냉전수구... https://t.co/4…",Thu Feb 08 23:48:13 +0000 2018
odb2003,"RT @for_you_1127: 종대 커밍오버ㅠㅠㅠㅠㅜ아 존멋 ㅠㅠㅠㅠ
#EXOL #BestFanArmy #iHeartAwards @weareoneEXO https://t.co/cUh1SvQ0qk",Sat Feb 10 13:17:44 +0000 2018
sadsackofgay,suddenly dont really feel so good,Fri Feb 09 00:45:09 +0000 2018
yeslc2,RT @spirit_gom: 개회식 이건 오진거 ㅇㅈ한다 https://t.co/ou6FUVO62R,Fri Feb 09 14:54:05 +0000 2018
aonyjuu,RT @MB_destiny9397: ช่วยกันทำมาหากินจังเลยนะคะ สุดท้ายมาร์คทำพัง แบมเลยฟ้องว่า ตอนแรกมาร์คฮยองมาถามผมว่าเชื่อใจหรือไม่เชื่อใจด้วย ....สุดท้…,Thu Feb 08 10:27:02 +0000 2018
kimiow,RT @allyjung: Forget Moon-Kim handshake/Tonga flag-bearer/Yuna Kim. The most popular feature of #Pyeongchang2018 opening ceremony among S.K…,Sat Feb 10 05:44:14 +0000 2018
piinapuru,"RT @IvyTwts: Hanlim highschool graduation 
#idolschool #binhaneul #songhayoung #leehaein #아이돌학교 #빈하늘 #송하영 #이해인 #한림 https://t.co/zABSjsYD2g",Fri Feb 09 12:18:50 +0000 2018
seventeeny__,"RT @Rose_JeongHan: 오늘 더샘 관계자 분한테 들었는데 세븐틴 뮤비에 나온 화장품들 협찬이 아니라고 함 플디 관계자 분이 오셔서 직.접. 사갔다고 함 
그리고 세븐틴 핸드크림 출시 예정임....
원래는 인터넷으로 판매할 예정이였는데 세븐…",Sat Feb 10 03:25:01 +0000 2018
kimdog2989,@mk16990 히잉,Fri Feb 09 15:01:29 +0000 2018
ankqn1,"RT @margaue07: 엄마 사랑해요!!

// JIN RJ // #iHeartAwards  #BestFanArmy  #BTSARMY  #BTS  #iHeartContest  # https://t.co/w5ynuiOuUE",Sat Feb 10 06:26:21 +0000 2018
begu35,"RT @dytpqdlxn: 헐,,,납치에 감금 😭😭
죽은사람만 억울하네...

#강제개종교육 #화순펜션살인사건 #인권문제 #강제개종목사 https://t.co/5jzjuETD1m",Sat Feb 10 09:09:46 +0000 2018
jeoogguk,Siapa tau bisa tukeran jaga kasir nya.  @k_taehyungs https://t.co/dSickDHbB7,Thu Feb 08 15:45:38 +0000 2018
armyAYJ,"RT @ONLY_MOMNET_V: 🗣왜저래...? 
🗣쟤 왜저래..? 뷔 이상해 오늘
🗣정산...정산받았나..?

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

 #iHeartAwards #BestFanArmy #BTSA…",Sat Feb 10 05:15:17 +0000 2018
danyeldvl,"HBD buat Sooyoung noona, Naeun noona, Siwon hyung dan Seulgi noona. https://t.co/JIKzyDTJ9C",Sat Feb 10 02:15:31 +0000 2018
